zipcode,zipcodetype,city,state,locationtype,lat,long,location,decommisioned,taxreturnsfiled,estimatedpopulation,totalwages,suppliers
957,STANDARD,BAYAMON,PR,PRIMARY,18.28,-66.13,NA-US-PR-BAYAMON,f,,,,{161110}
954,PO BOX,TOA ALTA,PR,PRIMARY,18.39,-66.25,NA-US-PR-TOA ALTA,f,,,,{161106}
1001,STANDARD,AGAWAM,MA,PRIMARY,42.06,-72.61,NA-US-MA-AGAWAM,f,8596,14021,337735143,{}
1007,STANDARD,BELCHERTOWN,MA,PRIMARY,42.27,-72.4,NA-US-MA-BELCHERTOWN,f,7097,12895,342529324,{}
983,STANDARD,CAROLINA,PR,PRIMARY,18.4,-65.98,NA-US-PR-CAROLINA,f,,,,{}
1012,STANDARD,CHESTERFIELD,MA,PRIMARY,42.4,-72.85,NA-US-MA-CHESTERFIELD,f,374,639,13500566,{}
1038,STANDARD,HATFIELD,MA,PRIMARY,42.37,-72.6,NA-US-MA-HATFIELD,f,1300,2161,53672742,{}
1039,STANDARD,HAYDENVILLE,MA,PRIMARY,42.39,-72.7,NA-US-MA-HAYDENVILLE,f,747,1228,31238572,{}
1054,STANDARD,LEVERETT,MA,PRIMARY,42.45,-72.5,NA-US-MA-LEVERETT,f,968,1620,41254068,{}
1056,STANDARD,LUDLOW,MA,PRIMARY,42.16,-72.48,NA-US-MA-LUDLOW,f,10152,17529,404031435,{}
1080,STANDARD,THREE RIVERS,MA,PRIMARY,42.18,-72.37,NA-US-MA-THREE RIVERS,f,1168,1888,35086899,{}
1092,PO BOX,WEST WARREN,MA,PRIMARY,42.2,-72.2,NA-US-MA-WEST WARREN,f,611,1063,21706065,{}
1102,PO BOX,SPRINGFIELD,MA,PRIMARY,42.11,-72.53,NA-US-MA-SPRINGFIELD,f,,,,{}
1104,STANDARD,SPRINGFIELD,MA,PRIMARY,42.11,-72.53,NA-US-MA-SPRINGFIELD,f,9601,15795,257431945,{}
1106,STANDARD,LONGMEADOW,MA,PRIMARY,42.04,-72.57,NA-US-MA-LONGMEADOW,f,7734,14332,589918241,{}
1111,UNIQUE,SPRINGFIELD,MA,PRIMARY,42.11,-72.53,NA-US-MA-SPRINGFIELD,f,,,,{}
1138,PO BOX,SPRINGFIELD,MA,PRIMARY,42.11,-72.53,NA-US-MA-SPRINGFIELD,f,333,509,8160825,{}
1195,STANDARD,SPRINGFIELD,MA,PRIMARY,42.1,-72.58,NA-US-MA-SPRINGFIELD,t,,,,{}
1201,STANDARD,PITTSFIELD,MA,PRIMARY,42.45,-73.26,NA-US-MA-PITTSFIELD,f,22181,36002,745722739,{}
1224,STANDARD,BERKSHIRE,MA,PRIMARY,42.51,-73.19,NA-US-MA-BERKSHIRE,f,,,,{}
1227,PO BOX,DALTON,MA,PRIMARY,42.47,-73.16,NA-US-MA-DALTON,f,,,,{}
1252,PO BOX,NORTH EGREMONT,MA,PRIMARY,42.17,-73.44,NA-US-MA-NORTH EGREMONT,f,,,,{}
1255,STANDARD,SANDISFIELD,MA,PRIMARY,42.11,-73.13,NA-US-MA-SANDISFIELD,f,326,572,10291793,{}
1257,STANDARD,SHEFFIELD,MA,PRIMARY,42.1,-73.34,NA-US-MA-SHEFFIELD,f,1223,2018,38639493,{}
